# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.05222035   -0.09001651   -0.04011497    0.00249325    0.59144618   -0.07505390   -0.07488452   -0.00425624
   -0.05222940   -0.09000716   -0.04011365    0.00249326    0.59145852   -0.07505631   -0.07487711   -0.00425616
   -0.05243619    0.08979546   -0.04009961    0.00225582    0.59177577   -0.07513200   -0.00427439   -0.07472924
   -0.05222314   -0.09001251   -0.04011519    0.00249325    0.59145176   -0.07505545   -0.07488260   -0.00425746
   -0.05243960    0.08979928   -0.04010170    0.00225582    0.59176185   -0.07513622   -0.00427480   -0.07473264
    0.05235418   -0.09022011    0.04008740    0.00216708    0.59106278    0.07507920    0.00411073    0.07489876
   -0.05243445    0.08979337   -0.04009663    0.00225581    0.59178512   -0.07512740   -0.00427179   -0.07472500
   -0.05222604   -0.09001881   -0.04011338    0.00249325    0.59143701   -0.07505444   -0.07488209   -0.00425201
   -0.05243285    0.08978485   -0.04009280    0.00225583    0.59180901   -0.07512176   -0.00427058   -0.07471710
    0.05236418   -0.09023274    0.04009173    0.00216705    0.59102094    0.07508928    0.00410906    0.07490700
   -0.05243620    0.08978648   -0.04009471    0.00225582    0.59180005   -0.07512572   -0.00427163   -0.07471942
   -0.05243840    0.08979726   -0.04009988    0.00225582    0.59176933   -0.07513334   -0.00427353   -0.07472978
   -0.05223387   -0.09001740   -0.04011675    0.00249325    0.59142862   -0.07506231   -0.07488409   -0.00425511
   -0.05244238    0.08979728   -0.04009989    0.00225582    0.59176510   -0.07513516   -0.00427263   -0.07472890
